,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
nta-miR395c,0.141,-11.058,-0.004,0.108,0.005,0.211,0.116,-0.421,0.087,-0.172,0.057,0.094,-1.386,0.0,0.072,0.013,2.35,0.009,-0.008,0.0,0.008,0.363,-0.023,-10.301,0.0,-0.108,-0.003,-0.044,-0.02,-1.694,-0.103,-0.801,-0.352,-0.067,-1.748,-0.027,0.032,-0.168,-9.984,-0.006,-0.126,-0.019,-0.114,-1.784,0.146,19.367,-0.001,0.003,-0.003,0.195,-0.115,-0.169,0.057,2.056,-0.229,-0.111,2.4,-0.037,0.093,0.045,-2.95,-0.005,0.031,-0.012,0.056,-0.257
rsa-mir9,0.147,-12.155,0.003,0.058,0.002,0.091,0.094,0.061,-0.282,-1.127,-0.327,0.166,-1.082,0.001,0.139,0.163,-1.592,0.003,0.093,0.014,0.199,0.353,-0.234,-3.924,-0.006,-0.088,-0.004,-0.266,-0.088,-3.092,0.113,-1.208,2.391,0.009,-1.21,-0.012,-0.155,-0.249,-9.215,-0.008,-0.166,-0.027,-0.19,-2.222,-0.195,-20.816,0.0,-0.015,-0.003,-0.136,-0.152,-4.881,-0.043,5.384,1.415,-0.05,-3.978,-0.025,-0.223,-0.409,-20.007,-0.008,-0.324,-0.064,-0.266,-4.31
ghr-miR8692,0.079,-15.641,0.001,0.082,0.002,0.068,0.093,-3.686,0.037,-3.143,0.459,0.061,-2.528,-0.002,0.02,-0.078,-6.5,0.005,-0.125,-0.011,-0.002,-1.131,-0.017,-4.583,0.0,-0.088,-0.001,-0.119,-0.055,1.626,-0.031,0.35,0.946,-0.086,-0.477,0.001,-0.136,0.031,2.68,0.0,0.019,0.014,-0.014,0.546,-0.053,-8.199,-0.003,-0.065,0.0,-0.063,-0.005,1.944,-0.041,-3.376,-0.196,-0.09,-0.937,-0.018,0.015,0.061,-3.629,0.001,0.019,0.003,0.11,-0.228
nta-miR159,0.14,-4.476,0.002,0.19,0.01,0.285,0.025,-1.236,-0.239,-1.635,0.253,0.175,-0.04,0.001,0.075,0.188,-4.031,0.015,0.132,0.001,0.235,0.139,-0.011,0.467,0.001,0.074,0.003,0.084,0.011,0.131,0.085,0.134,-1.38,-0.026,0.207,-0.001,-0.063,0.025,15.01,0.004,0.013,0.004,-0.026,2.03,0.022,-1.029,0.003,0.056,-0.002,-0.028,-0.044,-2.825,-0.088,1.311,-1.377,-0.139,-0.009,-0.011,-0.067,0.025,5.542,-0.004,0.024,-0.005,0.022,0.829
gma-miR169d,0.122,-0.322,-0.004,0.202,0.005,0.186,0.186,-0.308,-0.057,-0.347,-1.227,0.224,0.524,0.001,0.079,0.144,4.426,0.007,0.137,0.008,0.17,1.038,-0.021,-19.518,0.004,-0.114,-0.006,-0.1,-0.01,-1.458,0.121,-0.298,0.63,-0.114,-3.144,0.009,-0.183,-0.154,0.473,-0.007,-0.19,0.007,-0.107,-0.452,0.135,3.302,-0.003,-0.123,0.001,0.105,-0.168,2.651,0.018,-0.063,-0.43,-0.173,0.17,0.01,-0.035,0.027,5.043,0.003,-0.029,0.014,-0.045,0.762
zma-miR169l,0.042,-2.181,0.0,0.244,0.007,0.263,0.161,0.308,0.094,-0.285,-0.446,0.274,0.661,-0.001,0.163,0.317,8.634,0.008,0.235,0.005,0.252,2.138,-0.067,-8.732,-0.002,-0.053,-0.002,-0.053,0.0,-0.551,-0.096,0.623,-0.816,0.012,-1.746,0.026,-0.178,-0.106,-5.236,-0.003,-0.151,0.003,-0.056,-1.081,0.105,12.577,-0.002,-0.124,0.001,0.121,-0.176,-0.371,-0.019,4.381,-0.115,-0.046,1.325,0.017,-0.13,-0.072,-2.021,0.001,-0.05,0.007,-0.046,-0.644
osa-NR050,0.0,-18.775,-0.004,0.089,0.002,0.105,0.072,-2.305,0.021,-4.543,-0.344,0.075,-2.758,0.0,0.102,-0.029,-8.289,0.003,-0.091,-0.009,0.058,-1.256,0.0,9.753,0.006,-0.143,-0.006,-0.278,-0.082,2.353,-0.063,0.743,1.074,-0.088,1.564,0.009,-0.228,0.064,8.256,-0.007,0.069,0.018,-0.029,1.437,0.0,-5.835,-0.004,-0.124,-0.005,-0.235,-0.146,-1.787,-0.029,1.926,0.168,-0.034,-0.741,0.008,-0.241,0.059,3.072,-0.007,-0.008,-0.015,-0.009,0.663
gma-miR4993,0.036,-20.566,-0.003,0.058,0.0,-0.014,-0.055,-1.984,0.122,-3.011,-0.939,0.061,-2.881,-0.001,-0.044,-0.007,-5.618,0.0,-0.047,-0.007,0.144,-0.84,0.038,-10.542,-0.001,0.023,-0.002,-0.044,-0.047,-3.832,0.086,-0.749,-1.933,-0.047,-1.159,0.03,-0.091,0.065,3.268,-0.002,0.056,-0.007,0.099,0.679,0.099,62.222,0.01,0.161,0.001,0.217,0.139,6.018,0.106,1.876,1.859,-0.05,9.797,0.043,0.269,0.526,22.959,0.004,0.549,0.062,0.344,4.942
oru-miR47,0.048,-25.713,-0.001,0.007,0.003,0.111,0.0,-2.38,-0.08,-2.73,-0.429,0.045,-3.889,0.0,0.052,-0.059,-7.646,0.004,-0.148,0.005,0.003,-1.212,-0.074,20.415,-0.005,-0.143,-0.005,-0.136,-0.07,0.386,-0.009,1.489,0.088,-0.077,2.932,0.036,-0.092,0.025,10.249,-0.009,0.064,0.005,-0.092,1.461,-0.078,4.577,0.001,0.02,-0.005,-0.082,-0.082,-1.765,0.018,1.078,1.63,-0.016,0.894,0.028,-0.055,0.026,2.116,-0.011,0.047,0.004,0.067,0.382
bra-miRC0460,0.05,-7.498,-0.001,0.07,0.005,0.195,0.04,-0.57,-0.073,-0.847,-0.107,0.1,-0.931,-0.003,0.07,0.048,-3.945,0.008,0.004,0.0,0.05,-0.325,-0.158,-11.536,-0.001,-0.095,-0.011,-0.232,-0.137,-1.739,-0.035,1.042,-0.128,-0.158,-1.601,0.027,-0.021,0.0,5.289,-0.015,0.003,-0.003,0.0,0.633,-0.056,1.311,-0.001,-0.111,-0.009,-0.244,-0.056,-1.795,-0.069,-0.317,-0.682,-0.028,0.626,0.009,-0.022,0.067,-2.69,-0.014,0.091,-0.008,0.056,-0.069
50891_x48,0.166,-28.096,-0.001,0.114,0.008,0.319,-0.003,0.521,-0.144,-0.961,-0.138,0.072,-3.586,-0.001,0.072,0.037,-4.632,0.014,-0.021,0.004,0.105,-0.481,0.009,14.145,0.001,0.076,0.002,0.149,-0.129,0.275,-0.066,-2.883,-0.922,-0.035,1.718,0.012,-0.155,-0.003,-0.352,0.006,0.015,0.012,-0.05,0.153,0.068,-2.457,0.0,0.034,0.0,-0.019,0.025,0.073,-0.062,-5.328,-1.038,-0.028,0.047,-0.002,-0.046,0.131,-2.632,0.001,0.09,0.003,0.127,0.276
nta-miR390a,-0.019,-13.131,0.0,0.224,0.004,0.285,0.089,0.139,-0.016,-1.055,0.572,0.061,-1.7,0.0,0.285,0.021,-2.488,0.006,-0.031,0.004,0.061,-0.284,-0.076,-6.981,0.001,0.096,-0.002,0.152,-0.032,0.078,-0.076,-0.237,2.115,-0.047,-1.717,-0.008,0.009,-0.261,-9.178,-0.004,-0.222,-0.021,-0.19,-2.103,0.037,-9.274,-0.001,0.012,-0.002,0.102,0.245,3.525,-0.037,-0.539,2.155,-0.037,-1.869,0.002,0.009,-0.173,-4.946,-0.003,-0.164,-0.005,-0.13,-1.244
zma-miR159a,0.116,-7.473,-0.001,0.18,0.006,0.247,0.036,-0.298,-0.177,-0.845,-0.007,0.075,-0.711,-0.002,0.072,0.135,-1.627,0.011,0.081,0.003,0.125,0.304,-0.155,-26.774,-0.002,-0.108,-0.002,-0.088,-0.143,-1.136,-0.018,-0.404,-0.062,-0.143,-4.305,-0.021,-0.023,-0.294,-12.983,-0.003,-0.24,-0.029,-0.219,-2.749,0.012,-16.604,0.0,-0.077,0.002,-0.034,-0.167,-0.826,-0.319,1.167,-1.162,-0.056,-2.628,0.009,-0.025,-0.121,-11.945,0.003,-0.1,-0.026,-0.065,-1.921
cgr-miR780,0.14,-4.815,0.004,0.091,0.007,0.231,-0.004,-1.296,-0.165,-0.76,-0.488,0.062,-0.313,-0.003,0.159,0.154,-2.886,0.01,0.107,-0.001,0.136,0.166,-0.043,-18.994,-0.001,-0.121,0.0,-0.052,-0.24,-2.53,0.145,-0.639,2.032,-0.221,-3.369,-0.01,-0.048,-0.212,-4.453,0.001,-0.194,-0.032,-0.147,-1.463,-0.045,-11.961,-0.005,-0.005,0.003,-0.055,-0.1,-0.708,-0.238,0.043,1.985,0.005,-2.237,0.01,-0.1,-0.167,-11.901,0.004,-0.155,-0.013,-0.057,-2.252
tae-miR5085,0.102,15.603,0.006,0.163,0.012,0.335,0.144,-1.052,0.304,0.089,-1.034,0.51,3.512,0.0,0.244,0.52,21.929,0.011,0.418,0.011,0.357,4.759,0.108,7.45,-0.002,-0.05,0.005,0.114,0.064,-1.528,0.115,0.529,-0.008,0.316,1.702,0.024,-0.012,0.346,12.965,0.005,0.242,0.013,0.254,2.884,0.071,6.835,-0.003,-0.111,-0.001,0.043,-0.037,0.341,-0.093,3.728,-0.896,0.099,1.242,0.008,-0.037,0.184,6.934,-0.003,0.135,0.002,0.146,1.481
osa-miR1425-5p,0.127,-8.005,0.0,0.091,0.006,0.26,0.0,-0.308,-0.177,-0.803,-0.024,0.075,-0.948,0.001,0.161,0.109,0.035,0.01,0.045,0.005,0.1,0.324,-0.032,-20.605,-0.003,-0.181,-0.004,-0.026,-0.117,-1.159,-0.124,2.591,0.024,-0.254,-4.279,-0.011,-0.006,-0.408,-17.076,-0.006,-0.379,-0.015,-0.289,-3.65,-0.012,-2.625,0.001,-0.074,-0.004,-0.111,0.05,1.412,0.192,-2.793,-1.52,-0.034,-0.723,-0.005,0.019,-0.161,-9.149,-0.007,-0.076,0.002,-0.074,-1.886
rsa-miRn4,0.139,3.933,-0.002,0.18,0.008,0.319,0.094,-0.749,-0.086,0.055,-1.455,0.321,1.503,0.0,0.125,0.275,8.959,0.01,0.236,-0.001,0.199,2.16,-0.187,-25.027,-0.004,-0.032,-0.002,-0.061,-0.19,1.286,-0.153,-6.69,-1.972,0.117,-4.302,0.005,-0.219,-0.325,-22.876,-0.004,-0.323,0.006,-0.167,-4.242,-0.08,-22.311,0.002,-0.077,-0.007,-0.334,-0.207,-0.099,-0.032,-7.127,-0.855,-0.053,-4.246,-0.01,-0.183,-0.293,-23.569,-0.01,-0.311,-0.018,-0.105,-4.339
zma-miR408b,0.011,-12.727,0.002,0.058,0.0,0.086,0.044,-0.693,-0.036,-0.806,0.516,0.042,-1.387,0.002,0.158,0.066,-2.584,0.0,0.023,0.004,0.042,-0.145,-0.099,-11.708,-0.001,-0.105,-0.001,-0.123,-0.137,-1.845,-0.063,-0.582,2.102,-0.012,-2.651,-0.01,-0.222,-0.325,-6.865,-0.002,-0.294,-0.019,-0.254,-1.981,0.071,8.06,-0.003,-0.111,-0.001,-0.121,-0.105,-1.829,-0.024,-0.508,1.286,-0.012,0.281,0.023,-0.235,-0.172,-0.407,-0.002,-0.126,-0.005,-0.056,-0.714
osa-miR1866,0.124,5.043,0.005,0.107,0.011,0.446,0.155,1.396,-0.022,-1.176,0.454,0.504,1.912,0.001,0.413,0.499,10.4,0.01,0.355,0.024,0.5,2.992,-0.108,5.468,0.002,0.017,0.002,0.19,-0.245,-1.57,-0.093,6.587,-2.009,0.147,0.966,-0.007,0.069,0.092,3.575,0.001,0.085,-0.021,0.091,0.742,-0.114,-14.32,-0.003,-0.032,-0.005,-0.091,-0.184,-0.37,-0.155,5.575,-2.102,-0.195,-2.687,-0.007,-0.109,-0.253,-10.683,-0.004,-0.217,-0.029,-0.209,-2.295
Pau-miR1,0.167,-0.93,-0.001,0.043,0.004,0.194,0.142,0.69,-0.111,-0.13,0.264,0.25,0.794,0.003,0.222,0.269,5.024,0.006,0.206,0.012,0.216,1.489,-0.059,7.847,-0.005,-0.013,0.001,0.029,-0.131,2.086,-0.078,-0.928,-0.882,0.088,0.9,0.002,-0.059,-0.014,-4.854,-0.001,-0.018,0.012,0.007,-0.699,-0.188,-7.285,0.0,-0.014,0.001,0.156,-0.313,1.077,0.139,-0.201,-0.869,0.094,-0.897,0.033,-0.063,0.031,4.499,-0.004,-0.019,0.016,0.021,0.702
rsa-mir12a,0.05,-0.687,-0.001,0.0,0.009,0.357,0.011,0.749,0.038,-0.097,0.413,0.277,0.539,0.001,0.26,0.234,5.208,0.008,0.16,0.009,0.194,1.41,-0.003,-4.751,-0.002,0.0,0.001,0.213,-0.096,-0.805,-0.062,1.02,-1.912,-0.041,-0.786,0.014,-0.029,-0.033,10.969,0.001,-0.06,0.013,-0.099,1.577,0.056,26.194,0.003,0.0,-0.003,0.288,-0.158,1.64,0.14,2.152,-1.749,-0.102,4.18,0.036,0.059,0.26,32.914,-0.003,0.195,0.055,0.043,5.482
esa-miRn10-3p,0.126,-6.346,-0.001,0.062,0.01,0.355,0.211,0.082,-0.017,-0.322,0.385,0.277,-0.389,-0.002,0.312,0.169,1.042,0.011,0.111,0.006,0.18,0.651,-0.058,0.28,0.0,-0.03,0.0,0.0,0.004,-1.892,-0.142,-0.061,-0.303,-0.043,0.204,0.025,0.067,-0.002,-1.55,-0.002,0.021,0.004,0.002,-0.226,-0.111,15.451,0.001,0.068,-0.006,0.009,-0.173,0.101,0.073,0.727,-0.859,-0.245,2.576,0.04,0.098,0.142,16.853,-0.008,0.125,0.024,0.007,2.819
pfo-mir78,0.064,-11.015,0.0,0.058,0.001,0.089,0.03,-2.735,-0.078,-0.895,0.332,0.086,-1.4,0.0,0.075,0.062,-3.449,0.002,-0.001,0.0,0.105,-0.246,-0.099,-11.487,0.0,-0.105,-0.001,-0.099,-0.102,2.531,-0.033,3.5,0.732,-0.076,-2.223,-0.017,-0.067,-0.151,-0.091,0.0,-0.186,-0.001,-0.111,-0.604,-0.105,25.694,-0.003,-0.111,-0.002,-0.09,-0.015,-3.588,0.082,5.765,0.222,-0.056,4.174,0.003,0.146,0.111,7.778,-0.005,0.202,-0.007,0.0,1.476
mmu-miR-394*,0.169,3.318,-0.004,0.091,0.001,0.1,0.194,-1.357,-0.091,-0.139,-0.27,0.055,1.013,-0.001,0.338,0.204,3.104,0.002,0.167,0.001,0.186,1.098,-0.044,-0.511,0.0,-0.126,-0.005,-0.05,0.02,-0.786,-0.021,2.924,-0.401,-0.108,-0.401,-0.016,0.149,-0.077,0.601,-0.01,-0.089,-0.006,-0.064,-0.186,-0.164,3.981,-0.001,0.102,-0.001,0.189,0.18,1.879,-0.027,2.817,0.652,-0.034,0.316,-0.015,0.136,-0.114,-4.656,-0.004,-0.101,0.01,-0.118,-0.93
osa-miR171g,0.086,-11.858,0.0,0.224,0.001,0.125,0.036,-1.086,-0.063,-0.715,-0.916,0.111,-0.641,-0.001,0.213,0.284,2.347,0.003,0.225,0.004,0.305,1.256,-0.076,11.755,-0.001,-0.152,-0.008,-0.178,0.009,-1.366,0.02,-1.038,0.422,0.006,1.802,-0.021,0.184,0.061,-2.407,-0.015,0.086,-0.019,0.111,-0.106,-0.08,17.518,-0.002,-0.22,-0.006,-0.059,-0.08,0.337,-0.118,-3.635,-0.975,-0.034,2.725,-0.016,0.173,0.099,-1.61,-0.012,0.103,0.007,0.065,0.445
62255_x144,0.179,-7.757,-0.006,0.111,0.002,0.048,0.329,-1.597,-0.101,-0.279,0.093,0.17,-1.133,-0.001,0.082,-0.028,-2.091,0.004,-0.049,-0.001,-0.009,-0.407,-0.012,-10.793,0.002,0.017,-0.002,-0.145,0.236,-0.107,0.12,-1.029,-0.045,0.007,-2.362,-0.005,-0.086,-0.306,-13.533,-0.002,-0.273,-0.001,-0.214,-2.807,-0.065,11.749,0.001,0.035,0.005,0.058,0.19,4.202,0.065,0.669,0.379,0.143,2.338,-0.001,0.12,0.205,18.567,0.006,0.194,0.023,0.085,3.267
mmu-miR-395b*,0.147,-11.24,-0.001,0.233,0.012,0.338,0.097,-0.926,-0.215,-1.357,0.631,0.199,-1.435,-0.003,0.075,0.042,-6.269,0.015,0.006,-0.003,0.105,-0.737,-0.067,2.781,-0.002,-0.032,0.003,-0.047,-0.249,-0.869,-0.029,2.404,-0.136,-0.254,-0.295,-0.007,-0.123,-0.238,-6.649,0.008,-0.156,-0.009,-0.222,-1.683,-0.13,-10.687,-0.001,-0.211,-0.002,-0.226,-0.223,-1.598,0.141,2.245,-0.425,-0.254,-1.588,0.023,-0.071,-0.149,-0.176,-0.002,-0.101,-0.002,-0.176,-0.496
66102_x232,0.083,-20.817,-0.003,0.136,0.009,0.278,0.037,-0.153,-0.117,-0.583,-0.039,0.191,-2.499,-0.001,0.083,0.067,-4.222,0.013,0.012,0.008,0.164,-0.357,-0.029,21.021,0.0,-0.15,0.0,-0.176,-0.039,0.073,-0.069,1.938,0.521,0.0,2.935,-0.009,-0.059,-0.014,-1.367,-0.001,0.044,-0.001,-0.065,-0.203,-0.094,9.359,-0.003,-0.222,-0.005,-0.25,0.062,-1.033,0.165,3.812,0.307,-0.056,1.194,0.032,-0.063,-0.096,9.508,-0.006,-0.022,-0.002,-0.194,0.894
bna-miR394b,0.327,2.184,0.0,0.139,0.017,0.44,0.097,-1.305,-0.044,-0.175,0.008,0.208,0.648,0.002,0.089,0.148,6.299,0.023,0.101,0.005,0.111,1.339,0.012,-11.016,-0.003,-0.076,0.014,0.234,-0.026,0.039,-0.264,2.249,-0.036,0.038,-2.559,-0.01,-0.058,-0.445,-22.522,0.018,-0.328,-0.014,-0.289,-4.521,-0.13,0.379,-0.004,-0.022,0.012,0.121,0.198,0.796,-0.13,3.192,0.377,0.201,-0.627,-0.001,-0.062,-0.242,-8.07,0.016,-0.194,0.008,-0.189,-1.91
lus-miR-N1,0.147,-0.973,0.0,0.094,0.01,0.263,0.053,-2.243,-0.186,-0.59,-0.981,0.144,0.14,0.0,0.161,0.106,-0.142,0.013,0.075,-0.004,0.089,0.346,-0.012,-9.871,0.0,-0.067,0.002,0.056,-0.111,-0.076,0.101,-1.319,-0.409,-0.041,-1.954,-0.024,-0.184,-0.195,-10.607,0.002,-0.205,-0.028,-0.234,-2.04,0.009,5.284,-0.003,0.046,-0.004,0.118,0.0,-0.037,-0.157,1.749,0.046,-0.012,0.784,-0.032,-0.195,-0.046,-6.937,-0.005,-0.015,-0.009,-0.071,-0.935
hvu-miR1121,0.198,-15.517,0.002,0.14,0.008,0.245,-0.005,-1.86,0.214,-1.387,-0.096,0.095,-1.885,0.0,0.11,0.104,6.167,0.013,0.044,-0.002,0.15,1.133,-0.055,18.093,-0.003,0.042,-0.002,0.045,-0.068,0.038,0.022,0.961,0.253,-0.024,2.888,0.014,0.032,0.099,14.169,-0.004,0.123,0.012,-0.011,2.293,-0.083,-1.102,-0.001,-0.011,-0.005,0.1,0.033,1.072,-0.036,2.347,0.844,0.011,-0.103,0.007,0.033,-0.03,2.07,-0.009,-0.031,0.015,-0.067,0.21
vvi-miR3624,0.147,-11.122,0.0,0.058,0.007,0.238,-0.011,-1.754,0.055,-0.787,-0.134,0.133,-1.403,0.0,0.014,0.129,3.769,0.011,0.051,0.0,0.125,0.972,0.099,-28.303,-0.002,-0.05,0.005,0.02,0.0,-0.458,-0.098,-0.857,0.297,0.02,-4.269,-0.028,-0.123,-0.105,-9.585,0.01,-0.155,-0.023,-0.044,-1.6,0.065,-0.368,0.002,0.065,0.006,-0.105,0.065,-0.445,-0.056,2.889,1.281,0.012,0.215,-0.036,0.046,0.009,-7.756,0.012,0.064,-0.029,0.012,-0.966
osa-miR821a,0.316,-2.959,0.0,0.062,0.004,0.186,0.178,-0.4,0.152,-0.029,0.138,0.132,-0.193,-0.002,0.074,0.068,4.581,0.008,0.044,0.002,0.045,0.894,0.045,-1.301,0.001,0.017,-0.003,-0.076,0.0,-0.832,0.096,-2.429,-0.878,-0.08,-0.248,-0.004,-0.004,-0.019,-1.035,-0.003,-0.019,0.0,-0.022,-0.098,-0.002,21.144,0.001,0.132,0.002,0.02,0.077,1.329,0.347,-1.818,-0.611,-0.014,3.348,0.005,0.045,0.243,16.245,0.003,0.172,0.024,0.105,3.171
ath-miR826,0.089,-4.705,0.001,0.163,0.008,0.208,0.075,-1.561,0.119,-0.463,-0.486,0.247,-0.055,0.001,0.163,0.234,9.123,0.008,0.155,0.016,0.263,2.025,0.038,1.118,0.003,-0.05,-0.002,-0.173,-0.003,-0.016,0.021,0.015,0.162,-0.088,-0.098,0.029,-0.234,-0.089,-0.528,-0.002,-0.061,0.003,-0.111,-0.332,-0.019,-1.976,-0.003,-0.093,-0.006,-0.3,0.071,-1.023,-0.126,-1.981,-0.549,-0.167,-0.845,0.034,-0.365,-0.268,-11.491,-0.007,-0.191,0.002,-0.294,-2.348
gma-miR398b,0.175,-14.206,0.0,0.095,0.005,0.21,0.125,-1.009,-0.044,-0.01,-0.5,0.11,-1.75,0.0,0.228,0.041,-1.075,0.009,0.012,-0.003,0.05,-0.067,0.026,-6.112,0.001,-0.005,-0.001,-0.126,0.153,-1.798,0.071,-1.263,1.899,0.026,-1.689,-0.012,-0.042,-0.251,-6.952,-0.002,-0.181,-0.023,-0.161,-1.844,-0.028,-4.836,-0.003,-0.061,-0.003,-0.333,0.033,-1.388,0.032,0.992,1.917,0.044,-1.48,-0.021,-0.175,-0.223,-10.934,-0.005,-0.187,-0.016,-0.117,-2.339
osa-miR12471,0.256,-1.721,0.001,0.037,0.002,0.151,0.083,0.247,-0.106,-0.754,0.342,0.068,0.355,-0.001,0.157,0.216,0.035,0.005,0.149,0.006,0.165,0.771,-0.113,-3.833,-0.003,-0.009,0.0,-0.013,0.035,-0.132,-0.162,-1.221,-0.352,-0.095,-0.969,0.001,-0.091,-0.129,-6.664,0.0,-0.133,0.003,-0.126,-1.273,-0.28,-1.543,-0.001,-0.009,-0.003,-0.123,-0.068,0.655,0.12,-1.545,-0.386,-0.05,0.009,0.004,-0.014,0.012,5.127,-0.005,0.006,0.016,-0.045,0.891
mmu-miR-408,0.036,4.834,-0.001,0.141,0.007,0.197,0.08,-1.18,-0.073,-0.277,-0.34,0.108,0.978,0.0,0.161,0.105,-0.806,0.008,0.082,0.001,0.091,0.224,-0.018,-29.36,0.001,-0.129,0.006,0.015,-0.146,-1.42,-0.08,-0.892,2.235,-0.129,-5.399,-0.012,-0.088,-0.36,-13.109,0.008,-0.37,-0.021,-0.225,-3.037,0.04,-11.384,0.002,-0.087,0.008,-0.012,-0.223,-2.31,0.052,0.111,2.283,-0.077,-2.174,0.018,-0.13,-0.161,-2.213,0.011,-0.137,-0.014,-0.096,-0.967
sly-PC-170-5p,0.083,-11.401,-0.002,0.107,0.003,0.095,0.105,-1.666,-0.103,-0.269,0.047,0.14,-1.334,0.001,0.066,-0.041,-3.98,0.003,-0.029,-0.001,-0.029,-0.634,-0.061,-2.884,-0.002,0.017,-0.002,-0.169,0.043,-0.193,-0.144,0.558,-0.118,-0.074,-0.774,0.023,-0.026,-0.11,-6.23,-0.004,-0.082,-0.003,-0.078,-1.23,-0.018,-6.185,0.001,-0.032,-0.002,-0.091,-0.005,-1.633,0.247,-0.368,0.159,-0.127,-0.771,0.021,0.045,0.054,3.602,-0.004,0.022,0.002,0.055,0.632
esa-miRn9,0.064,-10.708,0.002,0.0,0.006,0.285,-0.025,-1.81,0.028,-0.102,0.263,0.269,-0.712,0.001,0.194,0.181,5.094,0.006,0.127,0.005,0.155,1.321,-0.067,16.445,0.0,0.0,-0.001,0.041,-0.073,2.829,-0.226,-2.708,-1.371,-0.012,2.3,0.004,0.038,0.064,-4.396,0.0,0.055,0.013,-0.003,-0.218,-0.096,10.291,-0.001,0.0,-0.005,-0.155,-0.019,-2.099,-0.104,-2.929,-2.79,-0.248,1.519,0.002,-0.034,0.053,6.914,-0.006,0.057,0.007,-0.019,1.318
mtr-miR5208d,0.06,6.525,0.002,0.058,0.003,0.089,-0.054,-2.077,-0.04,-0.24,-0.219,0.163,1.944,0.0,0.14,0.302,6.651,0.002,0.27,0.002,0.248,2.05,-0.1,7.347,-0.001,-0.035,-0.003,-0.1,-0.147,0.99,-0.051,-1.628,-0.717,0.022,1.11,-0.002,-0.043,0.061,-0.899,-0.003,0.033,0.006,0.022,0.05,-0.075,-1.485,-0.004,-0.036,-0.002,-0.007,0.3,-0.663,-0.033,-0.309,-0.129,0.116,-0.483,0.02,0.005,-0.064,-7.901,-0.001,-0.077,0.003,-0.077,-1.113
bna-miR166e,0.021,-9.348,-0.002,0.045,0.0,0.05,0.068,-1.872,-0.027,-0.186,0.031,0.081,-1.157,-0.004,0.05,-0.035,-2.802,0.0,-0.027,-0.004,-0.025,-0.431,0.022,-10.396,-0.001,-0.121,-0.002,-0.091,-0.143,1.473,0.026,-0.58,0.302,-0.091,-1.745,-0.002,-0.139,-0.067,-2.451,-0.003,-0.088,0.001,-0.035,-0.595,0.016,7.989,0.0,-0.105,0.0,-0.084,-0.2,1.54,-0.001,1.657,0.479,-0.095,1.009,-0.016,-0.095,0.007,0.607,0.0,0.007,0.006,0.005,0.104
gma-miR5667,0.094,-11.729,0.0,0.116,0.005,0.18,0.211,-0.389,0.001,-0.964,0.162,0.23,-1.404,-0.002,0.075,0.077,-1.65,0.007,0.023,0.0,0.136,-0.004,-0.012,4.897,-0.004,-0.181,-0.007,-0.199,-0.056,-2.08,-0.039,7.637,-1.577,-0.099,-0.096,-0.009,-0.088,-0.234,1.896,-0.01,-0.154,-0.042,-0.257,-0.496,0.046,-6.435,-0.003,-0.189,-0.006,-0.211,-0.118,-3.296,0.242,6.839,-1.122,-0.223,-1.62,-0.031,-0.093,-0.34,-10.73,-0.01,-0.223,-0.056,-0.297,-2.629
osa-miR818b,0.048,15.174,0.004,0.29,0.007,0.345,0.09,-0.4,-0.014,-0.105,0.959,0.245,3.615,0.001,0.375,0.483,13.97,0.009,0.429,0.019,0.485,3.552,-0.055,-7.619,0.003,0.063,0.005,0.153,-0.216,-2.285,-0.113,-0.668,2.098,0.137,-0.794,-0.008,0.079,0.012,-0.448,0.006,0.043,-0.011,0.082,-0.007,-0.003,-0.191,0.001,-0.056,0.005,0.106,-0.172,-3.06,0.052,7.65,0.031,0.144,-0.626,-0.015,0.028,-0.213,-5.457,0.005,-0.13,-0.048,-0.097,-1.618
